"Album","Year","Continent","Country","Sales","Pure_sales_index"
"Taylor Swift","2019","Asia","Israel",51,0.051
"Taylor Swift","2020","Asia","Israel",34,0.034
"Taylor Swift","2021","Asia","Israel",38,0.038
"Taylor Swift","2006","Asia","Japan",5000,5
"Taylor Swift","2007","Asia","Japan",15000,15
"Taylor Swift","2008","Asia","Japan",10000,10
"Taylor Swift","2009","Asia","Japan",10000,10
"Taylor Swift","2010","Asia","Japan",5800,5.8
"Taylor Swift","2011","Asia","Japan",3000,3
"Taylor Swift","2012","Asia","Japan",2600,2.6
"Taylor Swift","2013","Asia","Japan",1700,1.7
"Taylor Swift","2014","Asia","Japan",1100,1.1
"Taylor Swift","2015","Asia","Japan",1000,1
"Taylor Swift","2016","Asia","Japan",200,0.2
"Taylor Swift","2017","Asia","Japan",1000,1
"Taylor Swift","2018","Asia","Japan",5000,5
"Taylor Swift","2019","Asia","Japan",600,0.6
"Taylor Swift","2020","Asia","Japan",300,0.3
"Taylor Swift","2021","Asia","Japan",200,0.2
"Taylor Swift","2006","Asia","Jordan",53,0.053
"Taylor Swift","2007","Asia","Jordan",28,0.028
"Taylor Swift","2008","Asia","Jordan",32,0.032
"Taylor Swift","2009","Asia","Jordan",46,0.046
"Taylor Swift","2010","Asia","Jordan",37,0.037
"Taylor Swift","2011","Asia","Jordan",37,0.037
"Taylor Swift","2012","Asia","Jordan",45,0.045
"Taylor Swift","2013","Asia","Jordan",23,0.023
"Taylor Swift","2014","Asia","Jordan",37,0.037
"Taylor Swift","2015","Asia","Jordan",35,0.035
"Taylor Swift","2016","Asia","Jordan",31,0.031
"Taylor Swift","2017","Asia","Jordan",42,0.042
"Taylor Swift","2018","Asia","Jordan",50,0.05
"Taylor Swift","2019","Asia","Jordan",22,0.022
"Taylor Swift","2020","Asia","Jordan",35,0.035
"Taylor Swift","2021","Asia","Jordan",25,0.025
"Taylor Swift","2006","Asia","Kazakhstan",35,0.035
"Taylor Swift","2007","Asia","Kazakhstan",48,0.048
"Taylor Swift","2008","Asia","Kazakhstan",22,0.022
"Taylor Swift","2009","Asia","Kazakhstan",38,0.038
"Taylor Swift","2010","Asia","Kazakhstan",41,0.041
"Taylor Swift","2011","Asia","Kazakhstan",53,0.053
"Taylor Swift","2012","Asia","Kazakhstan",55,0.055
"Taylor Swift","2013","Asia","Kazakhstan",35,0.035
"Taylor Swift","2014","Asia","Kazakhstan",28,0.028
"Taylor Swift","2015","Asia","Kazakhstan",18,0.018
"Taylor Swift","2016","Asia","Kazakhstan",41,0.041
"Taylor Swift","2017","Asia","Kazakhstan",20,0.02
"Taylor Swift","2018","Asia","Kazakhstan",28,0.028
"Taylor Swift","2019","Asia","Kazakhstan",56,0.056
"Taylor Swift","2020","Asia","Kazakhstan",30,0.03
"Taylor Swift","2021","Asia","Kazakhstan",46,0.046
"Taylor Swift","2006","Asia","Kuwait",45,0.045
"Taylor Swift","2007","Asia","Kuwait",39,0.039
"Taylor Swift","2008","Asia","Kuwait",31,0.031
"Taylor Swift","2009","Asia","Kuwait",46,0.046
"Taylor Swift","2010","Asia","Kuwait",30,0.03
"Taylor Swift","2011","Asia","Kuwait",36,0.036
"Taylor Swift","2012","Asia","Kuwait",50,0.05
"Taylor Swift","2013","Asia","Kuwait",22,0.022
"Taylor Swift","2014","Asia","Kuwait",24,0.024
"Taylor Swift","2015","Asia","Kuwait",44,0.044
"Taylor Swift","2016","Asia","Kuwait",32,0.032
"Taylor Swift","2017","Asia","Kuwait",30,0.03
"Taylor Swift","2018","Asia","Kuwait",35,0.035
"Taylor Swift","2019","Asia","Kuwait",34,0.034
"Taylor Swift","2020","Asia","Kuwait",35,0.035
"Taylor Swift","2021","Asia","Kuwait",40,0.04
"Taylor Swift","2006","Asia","Kyrgyzstan",47,0.047
"Taylor Swift","2007","Asia","Kyrgyzstan",38,0.038
"Taylor Swift","2008","Asia","Kyrgyzstan",40,0.04
"Taylor Swift","2009","Asia","Kyrgyzstan",28,0.028
"Taylor Swift","2010","Asia","Kyrgyzstan",21,0.021
"Taylor Swift","2011","Asia","Kyrgyzstan",29,0.029
"Taylor Swift","2012","Asia","Kyrgyzstan",41,0.041
"Taylor Swift","2013","Asia","Kyrgyzstan",21,0.021
"Taylor Swift","2014","Asia","Kyrgyzstan",51,0.051
"Taylor Swift","2015","Asia","Kyrgyzstan",42,0.042
"Taylor Swift","2016","Asia","Kyrgyzstan",38,0.038
"Taylor Swift","2017","Asia","Kyrgyzstan",24,0.024
"Taylor Swift","2018","Asia","Kyrgyzstan",23,0.023
"Taylor Swift","2019","Asia","Kyrgyzstan",29,0.029
"Taylor Swift","2020","Asia","Kyrgyzstan",36,0.036
"Taylor Swift","2021","Asia","Kyrgyzstan",14,0.014
"Taylor Swift","2006","Asia","Laos",42,0.042
"Taylor Swift","2007","Asia","Laos",37,0.037
"Taylor Swift","2008","Asia","Laos",26,0.026
"Taylor Swift","2009","Asia","Laos",39,0.039
"Taylor Swift","2010","Asia","Laos",55,0.055
"Taylor Swift","2011","Asia","Laos",44,0.044
"Taylor Swift","2012","Asia","Laos",57,0.057
"Taylor Swift","2013","Asia","Laos",50,0.05
"Taylor Swift","2014","Asia","Laos",18,0.018
"Taylor Swift","2015","Asia","Laos",47,0.047
"Taylor Swift","2016","Asia","Laos",43,0.043
"Taylor Swift","2017","Asia","Laos",49,0.049
"Taylor Swift","2018","Asia","Laos",37,0.037
"Taylor Swift","2019","Asia","Laos",25,0.025
"Taylor Swift","2020","Asia","Laos",31,0.031
"Taylor Swift","2021","Asia","Laos",44,0.044
"Taylor Swift","2006","Asia","Lebanon",36,0.036
"Taylor Swift","2007","Asia","Lebanon",37,0.037
"Taylor Swift","2008","Asia","Lebanon",40,0.04
"Taylor Swift","2009","Asia","Lebanon",23,0.023
"Taylor Swift","2010","Asia","Lebanon",34,0.034
"Taylor Swift","2011","Asia","Lebanon",26,0.026
"Taylor Swift","2012","Asia","Lebanon",33,0.033
"Taylor Swift","2013","Asia","Lebanon",29,0.029
"Taylor Swift","2014","Asia","Lebanon",30,0.03
"Taylor Swift","2015","Asia","Lebanon",30,0.03
"Taylor Swift","2016","Asia","Lebanon",16,0.016
"Taylor Swift","2017","Asia","Lebanon",22,0.022
"Taylor Swift","2018","Asia","Lebanon",48,0.048
"Taylor Swift","2019","Asia","Lebanon",42,0.042
"Taylor Swift","2020","Asia","Lebanon",54,0.054
"Taylor Swift","2021","Asia","Lebanon",37,0.037
"Taylor Swift","2006","Asia","Malaysia",30,0.03
"Taylor Swift","2007","Asia","Malaysia",33,0.033
"Taylor Swift","2008","Asia","Malaysia",30,0.03
"Taylor Swift","2009","Asia","Malaysia",23,0.023
"Taylor Swift","2010","Asia","Malaysia",41,0.041
"Taylor Swift","2011","Asia","Malaysia",40,0.04
"Taylor Swift","2012","Asia","Malaysia",66,0.066
"Taylor Swift","2013","Asia","Malaysia",31,0.031
"Taylor Swift","2014","Asia","Malaysia",53,0.053
"Taylor Swift","2015","Asia","Malaysia",52,0.052
"Taylor Swift","2016","Asia","Malaysia",42,0.042
"Taylor Swift","2017","Asia","Malaysia",27,0.027
"Taylor Swift","2018","Asia","Malaysia",47,0.047
"Taylor Swift","2019","Asia","Malaysia",52,0.052
"Taylor Swift","2020","Asia","Malaysia",47,0.047
"Taylor Swift","2021","Asia","Malaysia",39,0.039
"Taylor Swift","2006","Asia","Maldives",31,0.031
"Taylor Swift","2007","Asia","Maldives",40,0.04
"Taylor Swift","2008","Asia","Maldives",17,0.017
"Taylor Swift","2009","Asia","Maldives",32,0.032
"Taylor Swift","2010","Asia","Maldives",50,0.05
"Taylor Swift","2011","Asia","Maldives",43,0.043
"Taylor Swift","2012","Asia","Maldives",33,0.033
"Taylor Swift","2013","Asia","Maldives",29,0.029
"Taylor Swift","2014","Asia","Maldives",48,0.048
"Taylor Swift","2015","Asia","Maldives",25,0.025
"Taylor Swift","2016","Asia","Maldives",28,0.028
"Taylor Swift","2017","Asia","Maldives",18,0.018
"Taylor Swift","2018","Asia","Maldives",20,0.02
"Taylor Swift","2019","Asia","Maldives",47,0.047
"Taylor Swift","2020","Asia","Maldives",40,0.04
"Taylor Swift","2021","Asia","Maldives",43,0.043
"Taylor Swift","2006","Asia","Mongolia",43,0.043
"Taylor Swift","2007","Asia","Mongolia",36,0.036
"Taylor Swift","2008","Asia","Mongolia",30,0.03
"Taylor Swift","2009","Asia","Mongolia",58,0.058
"Taylor Swift","2010","Asia","Mongolia",44,0.044
"Taylor Swift","2011","Asia","Mongolia",43,0.043
"Taylor Swift","2012","Asia","Mongolia",50,0.05
"Taylor Swift","2013","Asia","Mongolia",37,0.037
"Taylor Swift","2014","Asia","Mongolia",35,0.035
"Taylor Swift","2015","Asia","Mongolia",1,0.001
"Taylor Swift","2016","Asia","Mongolia",45,0.045
"Taylor Swift","2017","Asia","Mongolia",43,0.043
"Taylor Swift","2018","Asia","Mongolia",40,0.04
"Taylor Swift","2019","Asia","Mongolia",24,0.024
"Taylor Swift","2020","Asia","Mongolia",30,0.03
"Taylor Swift","2021","Asia","Mongolia",42,0.042
"Taylor Swift","2006","Asia","Myanmar",53,0.053
"Taylor Swift","2007","Asia","Myanmar",20,0.02
"Taylor Swift","2008","Asia","Myanmar",44,0.044
"Taylor Swift","2009","Asia","Myanmar",47,0.047
"Taylor Swift","2010","Asia","Myanmar",29,0.029
"Taylor Swift","2011","Asia","Myanmar",27,0.027
"Taylor Swift","2012","Asia","Myanmar",40,0.04
"Taylor Swift","2013","Asia","Myanmar",40,0.04
"Taylor Swift","2014","Asia","Myanmar",39,0.039
"Taylor Swift","2015","Asia","Myanmar",42,0.042
"Taylor Swift","2016","Asia","Myanmar",31,0.031
"Taylor Swift","2017","Asia","Myanmar",32,0.032
"Taylor Swift","2018","Asia","Myanmar",37,0.037
"Taylor Swift","2019","Asia","Myanmar",42,0.042
"Taylor Swift","2020","Asia","Myanmar",40,0.04
"Taylor Swift","2021","Asia","Myanmar",30,0.03
"Taylor Swift","2006","Asia","Nepal",19,0.019
"Taylor Swift","2007","Asia","Nepal",48,0.048
"Taylor Swift","2008","Asia","Nepal",31,0.031
"Taylor Swift","2009","Asia","Nepal",30,0.03
"Taylor Swift","2010","Asia","Nepal",46,0.046
"Taylor Swift","2011","Asia","Nepal",30,0.03
"Taylor Swift","2012","Asia","Nepal",34,0.034
"Taylor Swift","2013","Asia","Nepal",28,0.028
"Taylor Swift","2014","Asia","Nepal",36,0.036
"Taylor Swift","2015","Asia","Nepal",47,0.047
"Taylor Swift","2016","Asia","Nepal",25,0.025
"Taylor Swift","2017","Asia","Nepal",33,0.033
"Taylor Swift","2018","Asia","Nepal",26,0.026
"Taylor Swift","2019","Asia","Nepal",28,0.028
"Taylor Swift","2020","Asia","Nepal",29,0.029
"Taylor Swift","2021","Asia","Nepal",36,0.036
"Taylor Swift","2006","Asia","North Korea",33,0.033
"Taylor Swift","2007","Asia","North Korea",34,0.034
"Taylor Swift","2008","Asia","North Korea",14,0.014
"Taylor Swift","2009","Asia","North Korea",23,0.023
"Taylor Swift","2010","Asia","North Korea",48,0.048
"Taylor Swift","2011","Asia","North Korea",34,0.034
"Taylor Swift","2012","Asia","North Korea",24,0.024
"Taylor Swift","2013","Asia","North Korea",28,0.028
"Taylor Swift","2014","Asia","North Korea",27,0.027
"Taylor Swift","2015","Asia","North Korea",26,0.026
"Taylor Swift","2016","Asia","North Korea",52,0.052
"Taylor Swift","2017","Asia","North Korea",41,0.041
"Taylor Swift","2018","Asia","North Korea",24,0.024
"Taylor Swift","2019","Asia","North Korea",19,0.019
"Taylor Swift","2020","Asia","North Korea",27,0.027
"Taylor Swift","2021","Asia","North Korea",22,0.022
"Taylor Swift","2006","Asia","Oman",23,0.023
"Taylor Swift","2007","Asia","Oman",30,0.03
"Taylor Swift","2008","Asia","Oman",45,0.045
"Taylor Swift","2009","Asia","Oman",28,0.028
"Taylor Swift","2010","Asia","Oman",32,0.032
"Taylor Swift","2011","Asia","Oman",47,0.047
"Taylor Swift","2012","Asia","Oman",36,0.036
"Taylor Swift","2013","Asia","Oman",40,0.04
"Taylor Swift","2014","Asia","Oman",30,0.03
"Taylor Swift","2015","Asia","Oman",34,0.034
"Taylor Swift","2016","Asia","Oman",67,0.067
"Taylor Swift","2017","Asia","Oman",37,0.037
"Taylor Swift","2018","Asia","Oman",41,0.041
"Taylor Swift","2019","Asia","Oman",26,0.026
"Taylor Swift","2020","Asia","Oman",25,0.025
"Taylor Swift","2021","Asia","Oman",42,0.042
"Taylor Swift","2006","Asia","Pakistan",2200,2.2
"Taylor Swift","2007","Asia","Pakistan",5100,5.1
"Taylor Swift","2008","Asia","Pakistan",3300,3.3
"Taylor Swift","2009","Asia","Pakistan",2700,2.7
"Taylor Swift","2010","Asia","Pakistan",1100,1.1
"Taylor Swift","2011","Asia","Pakistan",1000,1
"Taylor Swift","2012","Asia","Pakistan",900,0.9
"Taylor Swift","2013","Asia","Pakistan",870,0.87
"Taylor Swift","2014","Asia","Pakistan",730,0.73
"Taylor Swift","2015","Asia","Pakistan",600,0.6
"Taylor Swift","2016","Asia","Pakistan",150,0.15
"Taylor Swift","2017","Asia","Pakistan",300,0.3
"Taylor Swift","2018","Asia","Pakistan",500,0.5
"Taylor Swift","2019","Asia","Pakistan",400,0.4
"Taylor Swift","2020","Asia","Pakistan",100,0.1
"Taylor Swift","2021","Asia","Pakistan",50,0.05
"Taylor Swift","2006","Asia","Palestine",26,0.026
"Taylor Swift","2007","Asia","Palestine",36,0.036
"Taylor Swift","2008","Asia","Palestine",39,0.039
"Taylor Swift","2009","Asia","Palestine",36,0.036
"Taylor Swift","2010","Asia","Palestine",22,0.022
"Taylor Swift","2011","Asia","Palestine",53,0.053
"Taylor Swift","2012","Asia","Palestine",43,0.043
"Taylor Swift","2013","Asia","Palestine",40,0.04
"Taylor Swift","2014","Asia","Palestine",42,0.042
"Taylor Swift","2015","Asia","Palestine",42,0.042
"Taylor Swift","2016","Asia","Palestine",41,0.041
"Taylor Swift","2017","Asia","Palestine",48,0.048
"Taylor Swift","2018","Asia","Palestine",32,0.032
"Taylor Swift","2019","Asia","Palestine",57,0.057
"Taylor Swift","2020","Asia","Palestine",28,0.028
"Taylor Swift","2021","Asia","Palestine",21,0.021
"Taylor Swift","2006","Asia","Philippines",2200,2.2
"Taylor Swift","2007","Asia","Philippines",5100,5.1
"Taylor Swift","2008","Asia","Philippines",3300,3.3
"Taylor Swift","2009","Asia","Philippines",2700,2.7
"Taylor Swift","2010","Asia","Philippines",1100,1.1
"Taylor Swift","2011","Asia","Philippines",1000,1
"Taylor Swift","2012","Asia","Philippines",900,0.9
"Taylor Swift","2013","Asia","Philippines",870,0.87
"Taylor Swift","2014","Asia","Philippines",730,0.73
"Taylor Swift","2015","Asia","Philippines",600,0.6
"Taylor Swift","2016","Asia","Philippines",150,0.15
"Taylor Swift","2017","Asia","Philippines",300,0.3
"Taylor Swift","2018","Asia","Philippines",500,0.5
"Taylor Swift","2019","Asia","Philippines",400,0.4
"Taylor Swift","2020","Asia","Philippines",100,0.1
"Taylor Swift","2021","Asia","Philippines",50,0.05
"Taylor Swift","2006","Asia","Qatar",49,0.049
"Taylor Swift","2007","Asia","Qatar",23,0.023
"Taylor Swift","2008","Asia","Qatar",31,0.031
"Taylor Swift","2009","Asia","Qatar",37,0.037
"Taylor Swift","2010","Asia","Qatar",36,0.036
"Taylor Swift","2011","Asia","Qatar",29,0.029
"Taylor Swift","2012","Asia","Qatar",24,0.024
"Taylor Swift","2013","Asia","Qatar",36,0.036
"Taylor Swift","2014","Asia","Qatar",49,0.049
"Taylor Swift","2015","Asia","Qatar",28,0.028
"Taylor Swift","2016","Asia","Qatar",31,0.031
"Taylor Swift","2017","Asia","Qatar",25,0.025
"Taylor Swift","2018","Asia","Qatar",34,0.034
"Taylor Swift","2019","Asia","Qatar",41,0.041
"Taylor Swift","2020","Asia","Qatar",44,0.044
"Taylor Swift","2021","Asia","Qatar",39,0.039
"Taylor Swift","2006","Asia","Russia",3200,3.2
"Taylor Swift","2007","Asia","Russia",11000,11
"Taylor Swift","2008","Asia","Russia",5600,5.6
"Taylor Swift","2009","Asia","Russia",2700,2.7
"Taylor Swift","2010","Asia","Russia",1100,1.1
"Taylor Swift","2011","Asia","Russia",1000,1
"Taylor Swift","2012","Asia","Russia",900,0.9
"Taylor Swift","2013","Asia","Russia",870,0.87
"Taylor Swift","2014","Asia","Russia",730,0.73
"Taylor Swift","2015","Asia","Russia",600,0.6
"Taylor Swift","2016","Asia","Russia",150,0.15
"Taylor Swift","2017","Asia","Russia",300,0.3
"Taylor Swift","2018","Asia","Russia",500,0.5
"Taylor Swift","2019","Asia","Russia",400,0.4
"Taylor Swift","2020","Asia","Russia",100,0.1
"Taylor Swift","2021","Asia","Russia",50,0.05
"Taylor Swift","2006","Asia","Saudi Arabia",30,0.03
"Taylor Swift","2007","Asia","Saudi Arabia",39,0.039
"Taylor Swift","2008","Asia","Saudi Arabia",40,0.04
"Taylor Swift","2009","Asia","Saudi Arabia",52,0.052
"Taylor Swift","2010","Asia","Saudi Arabia",37,0.037
"Taylor Swift","2011","Asia","Saudi Arabia",54,0.054
"Taylor Swift","2012","Asia","Saudi Arabia",42,0.042
"Taylor Swift","2013","Asia","Saudi Arabia",38,0.038
"Taylor Swift","2014","Asia","Saudi Arabia",44,0.044
"Taylor Swift","2015","Asia","Saudi Arabia",16,0.016
"Taylor Swift","2016","Asia","Saudi Arabia",33,0.033
